Bronchitis,0.7,1.9,2.0,1.5,32.5,50.1,52.7,46.8
Chlamydia,0.1,0.2,0.5,0.2,6.9,15.8,36.8,16.4
Chicken Pox (Varicella),0.0,0.0,0.4,0.1,9.1,6.4,66.7,12.1
Cold/Virus or other respiratory illness,8.9,17.1,18.6,14.5,37.2,45.5,51.0,44.1
Concussion,1.0,1.8,2.5,1.6,48.6,61.7,71.4,59.4
Gonorrhea,0.1,0.0,0.5,0.1,12.8,10.3,53.8,18.1
Flu (influenza or flu-like illness),3.8,5.8,5.6,5.1,40.7,51.3,55.2,48.6
Mumps,0.0,0.0,0.4,0.1,15.0,14.3,75.0,22.7
Mononucleosis (mono),0.6,1.1,1.4,0.9,55.0,60.6,83.3,60.7
Orthopedic injury,2.0,2.8,4.6,2.6,27.8,31.1,44.6,31.3
Pelvic Inflammatory Disease,0.0,0.1,0.6,0.1,5.9,36.1,69.2,36.1
Pneumonia,0.3,0.6,1.2,0.6,35.8,51.6,85.0,50.2
Shingles,0.1,0.1,0.5,0.1,23.8,19.7,70.0,26.8
"Stomach or GI virus or bug, food poisoning or gastritis",1.9,4.4,5.4,3.7,35.3,42.8,46.7,41.7
Urinary tract infection,0.2,2.7,3.0,1.9,21.5,23.7,29.7,24.1
