Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Trans/,Unnamed: 4
,,Cis Men,Cis Women,Gender Non-,Total
,Percent (%),,,conforming,
Did something I later regretted,,16.1,17.6,13.6,16.9
"Blackout (forgot where I was or what I did for a large period of time and cannot remember, even when",,,,,
someone reminds me),,10.0,9.6,6.5,9.5
"Brownout (forgot where I was or what I did for short periods of time, but can remember once someone",,,,,
reminds me),,17.6,20.3,14.4,19.1
Got in trouble with the police,,1.1,0.5,0.9,0.7
Got in trouble with college/university authorities,,1.1,0.6,0.8,0.8
Someone had sex with me without my consent,,0.6,1.4,2.4,1.3
Had sex with someone without their consent,,0.3,0.1,1.1,0.3
Had unprotected sex,,9.3,10.0,9.0,9.7
Physically injured myself,,5.8,6.1,6.2,6.0
Physically injured another person,,0.6,0.4,1.1,0.5
Seriously considered suicide,,2.5,1.7,5.2,2.2
Needed medical help,,0.9,0.9,1.2,0.9
