Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Trans/,Unnamed: 4
,,Cis Men,Cis Women,Gender Non-,Total
,Percent (%),,,conforming,
Bronchitis,,2.3,4.0,3.9,3.5
Chlamydia,,0.8,1.1,1.4,1.1
Chicken Pox (Varicella),,0.5,0.5,0.6,0.6
Cold/virus or other respiratory illness (for example: sinus,,,,,
"infection, ear infection, strep throat, tonsillitis,",,,,,
"pharyngitis, or laryngitis)",,24.3,37.9,37.1,33.7
Concussion,,2.1,3.1,3.6,2.8
Gonorrhea,,0.6,0.4,1.0,0.5
Flu (influenza) or flu-like illness,,9.6,11.5,10.5,10.9
Mumps,,0.3,0.3,0.6,0.3
Mononucleosis (mono),,1.2,1.8,1.8,1.6
"Orthopedic injury (for example: broken bone, fracture,",,,,,
"sprain, bursitis, tendinitis, or ligament injury)",,7.2,9.1,10.6,8.7
Pelvic Inflammatory Disease,,0.3,0.4,0.9,0.4
Pneumonia,,1.0,1.2,1.4,1.2
Shingles,,0.3,0.5,0.7,0.5
"Stomach or GI virus or bug, food poisoning or gastritis",,5.6,10.5,11.8,9.2
Urinary tract infection,,0.9,11.8,10.6,8.4
