Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Trans/,Unnamed: 4,Unnamed: 5,Unnamed: 6,Trans/.1,Unnamed: 7
,,Cis Men,Cis Women,Gender Non-,Total,Cis Men,Cis Women,Gender Non-,Total
,Percent (%),,,conforming,,,,conforming,
Tobacco or nicotine delivery products,,13.3,12.1,13.7,12.5,1.1,1.0,0.8,1.0
Alcoholic beverages,,9.9,9.7,8.9,9.6,1.1,0.7,0.9,0.9
Cannabis (nonmedical use),,12.2,13.9,24.5,13.8,0.9,0.8,2.2,1.0
Cocaine,,1.1,0.6,0.6,0.8,0.2,0.0,0.4,0.1
Prescription stimulants (nonmedical use),,1.1,0.8,1.0,0.9,0.1,0.1,0.4,0.1
Methamphetamine,,0.4,0.1,0.4,0.2,0.1,0.0,0.4,0.1
Inhalants,,0.8,0.4,1.1,0.5,0.1,0.0,0.6,0.1
Sedatives or Sleeping Pills (nonmedical use),,1.0,0.7,0.8,0.8,0.1,0.0,0.6,0.1
Hallucinogens,,2.0,1.0,2.6,1.4,0.1,0.0,0.5,0.1
Heroin,,0.3,0.1,0.1,0.2,0.1,0.0,0.5,0.1
Prescription opioids (nonmedical use),,0.5,0.3,0.5,0.4,0.1,0.0,0.6,0.1
