Unnamed: 0,Unnamed: 1,Unnamed: 2,Trans/,Unnamed: 3,Unnamed: 4,Unnamed: 5,Trans/.1,Unnamed: 6
,Cis Men,Cis Women,Gender Non-,Total,Cis Men,Cis Women,Gender Non-,Total
Percent (%),,,conforming,,,,conforming,
ADD/ADHD - Attention Deficit/Hyperactivity Disorder,11.3,12.8,30.8,13.5,59.0,74.2,77.5,70.9
Alcohol or Other Drug-Related Abuse or Addiction,1.1,1.0,2.3,1.1,47.5,45.2,46.9,46.6
"Anxiety (for example: Generalized Anxiety, Social",,,,,,,,
"Anxiety, Panic Disorder, Specific Phobia)",15.1,36.4,60.9,31.5,64.5,76.1,78.3,74.8
Autism Spectrum,3.1,1.7,14.9,3.0,30.8,51.0,60.5,48.1
"Bipolar and Related Conditions (for example: Bipolar I, II,",,,,,,,,
Hypomanic Episode),1.4,2.3,7.5,2.4,66.0,73.0,78.1,72.5
"Borderline Personality Disorder (BPD), Avoidant",,,,,,,,
"Personality, Dependent Personality, or another personality",,,,,,,,
disorder,0.6,1.4,4.4,1.3,47.5,66.2,77.4,66.2
"Depression (for example: Major depression, persistent",,,,,,,,
"depressive disorder, disruptive mood disorder)",12.3,26.4,56.4,24.1,64.2,75.9,76.5,74.3
"Eating Disorders (for example: Anorexia Nervosa, Bulimia",,,,,,,,
"Nervosa, Binge-Eating)",1.4,7.1,13.7,5.8,49.5,52.7,44.4,51.4
Gambling Disorder,0.2,0.1,0.8,0.2,43.8,10.0,63.6,43.6
Insomnia,3.9,7.2,16.4,6.8,49.6,57.3,52.2,55.5
Obsessive-Compulsive and Related Conditions (for,,,,,,,,
"example: OCD, Body Dysmorphia, Hoarding,",,,,,,,,
Trichotillomania and other body-focused repetitive,,,,,,,,
behavior disorders),2.6,6.6,14.3,5.9,56.0,63.2,70.9,63.6
"PTSD (Posttraumatic Stress Disorder), Acute Stress",,,,,,,,
"Disorder, Adjustment Disorder, or another trauma- or",,,,,,,,
stressor- related condition,2.8,7.9,18.9,7.0,71.6,69.9,76.4,71.4
Schizophrenia and Other Psychotic Conditions (for,,,,,,,,
"example: Schizophrenia, Schizoaffective Disorder,",,,,,,,,
"Schizophreniform Disorder, Delusional Disorder)",0.3,0.3,2.3,0.4,71.4,60.0,65.6,64.9
Tourette’s or other neurodevelopmental condition not,,,,,,,,
already listed,0.6,0.5,2.0,0.6,32.5,45.6,67.9,47.9
Traumatic brain injury (TBI),1.0,1.1,1.3,1.1,34.8,40.8,27.8,39.0
